title,description,source,source_type,api_source,url,publishedAt,date,link
"Home | Canberra IQABOUTBULLETINSSUBSCRIBEFREE TRIALLOGINCAPITAL INTELLIGENCEWe report Canberra policy and politics, that’s our specialty",No description available,Canberra IQ,Government Policy,Web Scraping,,"Monday, 15  September 2025","Monday, 15  September 2025",
"Four editions eachweekday, one on Sunday LATEST BULLETINS //SUNDAY 14SEPTEMBER2025////FRIDAY 12SEPTEMBER2025////FRIDAY 12SEPTEMBER2025////FRIDAY 12SEPTEMBER2025////FRIDAY 12SEPTEMBER2025//ContactPrivacy Policy© 2022 – Canberra IQ BN 33148987366",No description available,Canberra IQ,Government Policy,Web Scraping,,"Monday, 15  September 2025","Monday, 15  September 2025",
DFAT issued its response to a request for documents about the PM's attempts to meet President Trump at the G7 (heavily redacted),No description available,Canberra IQ,Government Policy,Web Scraping,,"Monday, 15  September 2025","Monday, 15  September 2025",
DFAT issued its response to a request for documents regarding UNRWA Allegation Tracker pages,No description available,Canberra IQ,Government Policy,Web Scraping,,"Monday, 15  September 2025","Monday, 15  September 2025",
I have read and agree to the Canberra IQ Privacy PolicyGET STARTEDAlready a member,No description available,Canberra IQ,Government Policy,Web Scraping,,"Monday, 15  September 2025","Monday, 15  September 2025",
Reset your passwordContactPrivacy Policy© 2022 – Canberra IQ BN 33148987366,No description available,Canberra IQ,Government Policy,Web Scraping,,"Monday, 15  September 2025","Monday, 15  September 2025",
Wombat makes home in main street bowls club amid habitat loss,"A wombat has made its home in the main street of Robe, evidence of an influx of the animals in the South Australian fishing town.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-14/wombats-take-over-robe-south-australia/105763680,2025-09-13T22:45:30Z,,
Old city brick pit gives endangered frogs a sporting chance,"Twenty-five years after the Sydney Olympics, an important Homebush planning decision has led to successful conservation efforts for a species born in the green and gold. But a deadly fungus poses a threat.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-14/green-and-golden-bell-frogs-thrive-at-sydney-olympics-site/105762124,2025-09-13T21:56:05Z,,
When speaking doesn't come easily the consequences can be life altering,"One in four children starting school now has a speech or language delay. It can hold back their learning, affect their friendships and harm their mental health. Speech therapists are struggling to find ways to support them all, but one school is leading the w…","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-14/australias-speech-pathology-therapy-language-delay/105658306,2025-09-13T19:12:36Z,,
Albanese to unveil $12 billion AUKUS defence facility expansion,"The Albanese government will spend $12 billion on building a submarine and naval shipbuilding facility south of Perth under AUKUS, as doubts linger over the agreement's future.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-13/albanese-announces-aukus-12-billion-dollar-defence-spend-perth/105770188,2025-09-13T12:30:01Z,,
Bush band's song tells story of Maralinga atomic bomb tests,"For Liam Tunkin, making music is about continuing his late father's legacy and sharing a dark part of Australia's history.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-13/bush-band-song-tells-story-of-maralinga-atomic-bomb-tests/105765452,2025-09-13T02:29:21Z,,
Frogs with alpaca genes could soon be hopping around Australia,"Disease-resistant frogs, cane-toad-munching quolls and other gene-edited native animals could be roaming the nation within the next decade. What could go wrong?","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/science/2025-09-13/genome-editing-dna-wild-animals-conservation-frogs-quolls/105741136,2025-09-13T02:00:00Z,,
